Product_ID,Sale_month,Profit_per_month,Total_monthly_quantity,Avg_monthly_profit_margin,weight_monthly_profit_margin,Previous_month_profit,Profitchange_MtM
1008,2023-02-01,2112.66,22,4.06,4.232,16727.98,-14615.32
1008,2023-04-01,19202.38,59,23.017,14.251,2112.66,17089.72
1008,2023-05-01,9902.31,37,13.516,15.629,19202.38,-9300.07
1008,2023-06-01,16685.36,56,14.81,9.758,9902.31,6783.05
1008,2023-08-01,12562.8,40,10.464,11.686,16685.36,-4122.56
1008,2023-09-01,10072.96,32,25.466,34.166,12562.8,-2489.84
1008,2023-10-01,4733.04,24,11.337,12.787,10072.96,-5339.92
1008,2023-12-01,33691.08,99,33.012,17.089,4733.04,28958.04
1009,2023-01-01,4586.84,28,5.777,5.256,,
1009,2023-03-01,3825.26,11,8.792,8.162,4586.84,-761.58
1009,2023-04-01,34310.57,112,23.026,17.583,3825.26,30485.31
1009,2023-05-01,17254.8,40,13.351,15.408,34310.57,-17055.77
1009,2023-08-01,15425.85,33,50.911,103.712,17254.8,-1828.95
1009,2023-11-01,5753.58,14,42.865,75.023,15425.85,-9672.27
1010,2023-02-01,7733.85,47,6.772,7.264,,
1010,2023-03-01,12845.8,86,7.529,5.906,7733.85,5111.95
1010,2023-04-01,1996.48,4,9.171,10.097,12845.8,-10849.32
1010,2023-10-01,3529.0,20,3.943,4.105,1996.48,1532.52
1010,2023-12-01,6573.9,30,6.246,6.662,3529.0,3044.9
1011,2023-01-01,4087.16,22,12.301,14.026,,
1011,2023-03-01,402.52,2,3.941,4.102,4087.16,-3684.64
1011,2023-06-01,7060.02,38,4.002,4.169,402.52,6657.5
1011,2023-12-01,5718.44,13,23.366,30.49,7060.02,-1341.58
1012,2023-01-01,13231.53,39,9.789,10.851,,
1012,2023-02-01,2550.24,33,1.977,2.017,13231.53,-10681.29
1012,2023-04-01,2877.66,9,31.051,45.036,2550.24,327.42
1012,2023-05-01,8298.1,29,11.791,11.446,2877.66,5420.44
1012,2023-06-01,25151.48,66,31.7,31.052,8298.1,16853.38
1012,2023-09-01,6389.13,19,19.066,23.558,25151.48,-18762.35
1012,2023-10-01,2013.48,34,2.348,2.405,6389.13,-4375.65
1012,2023-11-01,4380.44,21,8.604,10.32,2013.48,2366.96
1012,2023-12-01,4744.35,13,14.055,16.353,4380.44,363.91
1013,2023-01-01,9426.8,55,6.809,8.337,,
1013,2023-02-01,9009.21,73,4.601,3.221,9426.8,-417.59
1013,2023-04-01,14873.88,42,20.474,25.745,9009.21,5864.67
1013,2023-06-01,995.36,16,4.844,5.09,14873.88,-13878.52
1013,2023-08-01,10132.46,26,9.416,10.395,995.36,9137.1
1013,2023-09-01,5419.52,16,26.919,36.834,10132.46,-4712.94
1013,2023-10-01,3319.36,66,4.173,3.116,5419.52,-2100.16
1014,2023-02-01,21574.52,44,17.844,21.72,,
1014,2023-04-01,16560.02,38,17.245,20.839,21574.52,-5014.5
1014,2023-06-01,764.52,3,9.358,10.325,16560.02,-15795.5
1014,2023-07-01,291.27,7,0.877,0.884,764.52,-473.25
1014,2023-08-01,9552.66,26,45.892,84.815,291.27,9261.39
1014,2023-09-01,5200.8,48,16.292,19.462,9552.66,-4351.86
1014,2023-11-01,1984.4,26,29.367,3.586,5200.8,-3216.4
1014,2023-12-01,16032.32,53,30.819,58.103,1984.4,14047.92
1015,2023-02-01,921.38,23,1.492,1.515,,
1015,2023-05-01,10431.0,30,11.483,12.973,921.38,9509.62
1015,2023-07-01,699.84,9,1.634,1.661,10431.0,-9731.16
1015,2023-08-01,11757.42,51,14.877,29.922,699.84,11057.58
1015,2023-09-01,15891.06,87,13.617,7.124,11757.42,4133.64
1015,2023-10-01,1600.57,23,2.314,2.369,15891.06,-14290.49
1015,2023-11-01,99.0,1,3.27,3.38,1600.57,-1501.57
1016,2023-01-01,3718.07,62,2.175,1.869,,
1016,2023-03-01,10934.24,42,13.363,7.274,3718.07,7216.17
1016,2023-04-01,2265.78,6,7.739,8.388,10934.24,-8668.46
1016,2023-06-01,8148.9,51,10.212,12.818,2265.78,5883.12
1016,2023-08-01,8040.33,23,34.855,10.969,8148.9,-108.57
1016,2023-10-01,5181.33,11,13.21,15.221,8040.33,-2859.0
1016,2023-11-01,7248.04,50,37.434,5.588,5181.33,2066.71
1017,2023-01-01,26525.12,81,19.715,16.278,,
1017,2023-02-01,1771.26,18,36.151,57.276,26525.12,-24753.86
1017,2023-03-01,3130.96,28,2.873,2.957,1771.26,1359.7
1017,2023-05-01,14679.35,35,7.933,8.616,3130.96,11548.39
1017,2023-06-01,14122.15,35,8.261,9.005,14679.35,-557.2
1017,2023-07-01,10872.12,42,28.073,18.068,14122.15,-3250.03
1017,2023-08-01,9467.31,43,13.145,15.134,10872.12,-1404.81
1017,2023-10-01,110.56,1,14.697,17.23,9467.31,-9356.75
1017,2023-12-01,14611.08,33,22.205,28.542,110.56,14500.52
1018,2023-01-01,12272.2,56,6.837,7.398,,
1018,2023-04-01,1403.35,17,18.835,23.206,12272.2,-10868.85
1018,2023-06-01,1044.68,28,3.576,3.708,1403.35,-358.67
1018,2023-08-01,515.33,10,1.232,1.675,1044.68,-529.35
1018,2023-09-01,9085.0,25,32.946,49.133,515.33,8569.67
1018,2024-01-01,8808.72,24,21.218,26.932,9085.0,-276.28
1019,2023-05-01,9629.63,41,5.098,6.43,,
1019,2023-06-01,17468.98,38,11.221,12.639,9629.63,7839.35
1019,2023-07-01,8568.8,26,11.027,10.773,17468.98,-8900.18
1019,2023-08-01,4173.3,18,6.065,6.456,8568.8,-4395.5
1019,2023-09-01,32132.52,88,34.341,17.597,4173.3,27959.22
1019,2023-10-01,24618.03,79,21.476,13.548,32132.52,-7514.49
1019,2023-11-01,4091.34,33,8.342,9.101,24618.03,-20526.69
1019,2023-12-01,8186.76,36,14.504,16.964,4091.34,4095.42
1020,2023-02-01,14263.94,29,72.77,267.243,,
1020,2023-03-01,2813.52,19,7.666,8.303,14263.94,-11450.42
1020,2023-04-01,1093.62,33,0.69,0.694,2813.52,-1719.9
1020,2023-09-01,11401.22,75,4.468,4.964,1093.62,10307.6
1020,2023-12-01,12741.75,45,6.221,6.634,11401.22,1340.53
1021,2023-01-01,3286.35,9,9.788,10.851,,
1021,2023-02-01,6583.04,32,18.592,22.838,3286.35,3296.69
1021,2023-03-01,8634.43,23,39.262,64.642,6583.04,2051.39
1021,2023-06-01,24045.09,65,16.639,14.166,8634.43,15410.66
1021,2023-07-01,13535.11,43,7.043,7.577,24045.09,-10509.98
1021,2023-08-01,2667.41,19,24.021,31.616,13535.11,-10867.7
1021,2023-11-01,12410.0,46,9.063,9.812,2667.41,9742.59
1022,2023-01-01,2497.95,13,7.672,8.309,,
1022,2023-03-01,3051.9,45,1.659,1.687,2497.95,553.95
1022,2023-06-01,2657.7,9,11.54,13.045,3051.9,-394.2
1022,2023-08-01,6980.4,21,11.583,13.101,2657.7,4322.7
1022,2023-11-01,12478.7,29,47.292,89.724,6980.4,5498.3
1022,2023-12-01,2134.3,10,10.442,11.659,12478.7,-10344.4
1023,2023-01-01,12834.3,38,25.801,17.617,,
1023,2023-03-01,8296.47,39,4.562,4.78,12834.3,-4537.83
1023,2023-04-01,855.45,5,6.892,7.402,8296.47,-7441.02
1023,2023-06-01,1063.26,9,2.764,2.843,855.45,207.81
1023,2023-07-01,905.36,6,17.443,12.131,1063.26,-157.9
1023,2023-08-01,6468.56,83,3.157,2.894,905.36,5563.2
1023,2023-09-01,2462.88,40,7.365,1.49,6468.56,-4005.68
1023,2023-10-01,1705.2,42,11.587,13.106,2462.88,-757.68
1023,2023-12-01,5096.21,47,3.113,3.213,1705.2,3391.01
1024,2023-01-01,15837.75,45,11.555,13.064,,
1024,2023-02-01,3733.73,13,16.126,19.226,15837.75,-12104.02
1024,2023-03-01,27642.42,81,18.162,20.205,3733.73,23908.69
1024,2023-04-01,14852.95,77,7.899,9.36,27642.42,-12789.47
1024,2023-06-01,6518.43,45,5.12,4.632,14852.95,-8334.52
1024,2023-08-01,19813.92,72,11.74,17.545,6518.43,13295.49
1024,2023-11-01,1755.0,43,2.135,1.509,19813.92,-18058.92
1024,2023-12-01,4107.22,22,5.8,4.719,1755.0,2352.22
1025,2023-02-01,5550.88,59,4.801,6.648,,
1025,2023-03-01,899.8,4,7.559,8.177,5550.88,-4651.08
1025,2023-06-01,6453.1,47,3.433,3.556,899.8,5553.3
1025,2023-07-01,12435.62,77,6.48,7.743,6453.1,5982.52
1025,2023-09-01,5084.3,26,8.877,9.742,12435.62,-7351.32
1025,2023-10-01,10219.0,44,13.519,15.632,5084.3,5134.7
1025,2023-12-01,7762.1,39,12.552,10.707,10219.0,-2456.9
1026,2023-01-01,121.35,5,0.589,0.593,,
1026,2023-02-01,13682.15,53,47.529,51.891,121.35,13560.8
1026,2023-03-01,5794.43,19,5.758,6.11,13682.15,-7887.72
1026,2023-04-01,1179.64,4,6.877,7.385,5794.43,-4614.79
1026,2023-05-01,9330.2,20,13.514,15.625,1179.64,8150.56
1026,2023-08-01,7445.0,25,20.472,25.742,9330.2,-1885.2
1026,2023-10-01,19269.0,45,19.734,24.586,7445.0,11824.0
1026,2023-11-01,11494.08,36,9.428,10.41,19269.0,-7774.92
1027,2023-01-01,20455.26,56,51.762,77.911,,
1027,2023-02-01,25189.3,68,21.686,28.024,20455.26,4734.04
1027,2023-03-01,7076.79,21,11.831,13.418,25189.3,-18112.51
1027,2023-04-01,598.08,7,3.477,3.602,7076.79,-6478.71
1027,2023-07-01,9484.93,37,7.87,9.93,598.08,8886.85
1027,2023-08-01,15665.36,47,27.939,8.554,9484.93,6180.43
1028,2023-02-01,12429.36,48,10.514,11.534,,
1028,2023-06-01,218.82,2,3.361,3.478,12429.36,-12210.54
1028,2023-08-01,29495.94,152,6.679,5.218,218.82,29277.12
1028,2023-11-01,19073.91,67,23.047,26.324,29495.94,-10422.03
1029,2023-01-01,12851.05,31,13.229,15.246,,
1029,2023-03-01,6573.56,28,7.553,8.17,12851.05,-6277.49
1029,2023-06-01,12845.37,42,16.279,13.698,6573.56,6271.81
1029,2023-07-01,11442.41,31,27.956,38.804,12845.37,-1402.96
1029,2023-08-01,12396.54,46,5.523,5.846,11442.41,954.13
1029,2023-10-01,3004.8,16,6.803,7.299,12396.54,-9391.74
1029,2023-12-01,2428.65,21,3.613,3.749,3004.8,-576.15
1030,2023-02-01,16442.93,49,11.469,12.955,,
1030,2023-03-01,6485.82,41,18.291,6.51,16442.93,-9957.11
1030,2023-05-01,732.72,43,0.362,0.363,6485.82,-5753.1
1030,2023-06-01,753.1,5,3.689,3.83,732.72,20.38
1030,2023-07-01,9211.22,58,4.046,3.682,753.1,8458.12
1030,2023-08-01,14930.08,34,12.32,14.052,9211.22,5718.86
1030,2023-11-01,12736.62,63,9.381,11.319,14930.08,-2193.46
1031,2023-03-01,11524.48,32,9.703,10.746,,
1031,2023-06-01,2512.8,10,30.714,44.328,11524.48,-9011.68
1031,2023-12-01,3217.94,22,3.338,3.453,2512.8,705.14
1032,2023-03-01,4672.8,20,4.696,4.927,,
1032,2023-04-01,3402.27,63,1.262,1.609,4672.8,-1270.53
1032,2023-06-01,15408.19,55,8.296,6.14,3402.27,12005.92
1032,2023-08-01,4095.62,28,4.964,3.125,15408.19,-11312.57
1032,2023-10-01,4638.24,28,9.085,10.483,4095.62,542.62
1032,2023-11-01,10292.26,26,18.442,13.907,4638.24,5654.02
1032,2023-12-01,1423.18,11,3.059,3.155,10292.26,-8869.08
1033,2023-01-01,530.16,24,1.615,1.642,,
1033,2023-02-01,5041.83,42,4.738,2.898,530.16,4511.67
1033,2023-03-01,5480.02,14,51.927,108.016,5041.83,438.19
1033,2023-04-01,8432.97,53,11.421,11.037,5480.02,2952.95
1033,2023-05-01,7703.68,16,14.172,16.512,8432.97,-729.29
1033,2023-06-01,7763.52,32,69.002,222.598,7703.68,59.84
1033,2023-07-01,194.48,13,0.343,0.344,7763.52,-7569.04
1033,2023-08-01,10755.74,83,17.37,15.441,194.48,10561.26
1033,2023-10-01,11283.78,61,6.886,4.309,10755.74,528.04
1033,2023-11-01,21575.25,66,8.893,12.362,11283.78,10291.47
1034,2023-01-01,17729.79,79,26.158,15.782,,
1034,2023-02-01,1344.72,26,7.196,7.754,17729.79,-16385.07
1034,2023-03-01,13893.75,45,13.297,15.337,1344.72,12549.03
1034,2023-04-01,2502.71,10,7.973,8.982,13893.75,-11391.04
1034,2023-05-01,4913.78,19,11.859,13.454,2502.71,2411.07
1034,2023-10-01,2110.04,34,5.966,6.345,4913.78,-2803.74
1035,2023-01-01,12979.12,28,10.946,12.291,,
1035,2023-02-01,1557.85,5,6.497,6.949,12979.12,-11421.27
1035,2023-03-01,22877.8,86,12.9,11.449,1557.85,21319.95
1035,2023-04-01,3260.94,34,7.986,8.679,22877.8,-19616.86
1035,2023-05-01,22108.95,45,10.625,11.888,3260.94,18848.01
1035,2023-08-01,3099.4,35,5.539,2.307,22108.95,-19009.55
1035,2023-10-01,197.86,1,24.467,32.392,3099.4,-2901.54
1036,2023-02-01,1691.82,26,1.502,1.525,,
1036,2023-03-01,9351.57,23,10.865,12.19,1691.82,7659.75
1036,2023-04-01,10218.0,25,9.192,10.123,9351.57,866.43
1036,2023-05-01,4005.12,42,2.173,2.221,10218.0,-6212.88
1036,2023-07-01,6218.09,17,19.87,24.798,4005.12,2212.97
1036,2023-08-01,4653.5,25,6.876,7.384,6218.09,-1564.59
1036,2023-09-01,19380.55,49,9.82,11.591,4653.5,14727.05
1036,2023-10-01,8934.66,49,12.756,14.621,19380.55,-10445.89
1036,2023-11-01,20663.53,51,24.663,27.022,8934.66,11728.87
1036,2023-12-01,1970.15,7,8.896,9.765,20663.53,-18693.38
1037,2023-01-01,35186.11,106,13.39,10.287,,
1037,2023-06-01,1183.52,4,5.897,6.266,35186.11,-34002.59
1037,2023-09-01,6758.77,22,17.778,21.152,1183.52,5575.25
1037,2023-12-01,15376.32,32,15.628,18.523,6758.77,8617.55
1038,2023-02-01,6398.29,23,15.778,9.686,,
1038,2023-03-01,4112.31,24,9.543,9.849,6398.29,-2285.98
1038,2023-05-01,3351.0,20,6.038,6.426,4112.31,-761.31
1038,2023-06-01,18841.98,66,18.386,22.757,3351.0,15490.98
1038,2023-08-01,8606.45,43,6.194,6.603,18841.98,-10235.53
1038,2023-10-01,1756.77,31,2.048,2.091,8606.45,-6849.68
1038,2023-11-01,428.06,1,25.037,33.399,1756.77,-1328.71
1039,2023-01-01,484.4,4,10.304,11.488,,
1039,2023-02-01,844.8,20,2.054,2.097,484.4,360.4
1039,2023-03-01,15592.15,35,14.004,16.284,844.8,14747.35
1039,2023-04-01,10963.44,27,15.833,17.145,15592.15,-4628.71
1039,2023-05-01,16374.4,40,10.375,11.575,10963.44,5410.96
1039,2023-06-01,2136.0,10,4.838,5.961,16374.4,-14238.4
1039,2023-07-01,20157.9,42,13.331,15.382,2136.0,18021.9
1039,2023-08-01,7416.36,36,6.592,7.058,20157.9,-12741.54
1039,2023-09-01,11111.36,65,11.368,6.484,7416.36,3695.0
1040,2023-01-01,8089.44,19,55.433,124.382,,
1040,2023-03-01,9161.23,55,4.321,4.314,8089.44,1071.79
1040,2023-05-01,4397.32,47,5.345,5.647,9161.23,-4763.91
1040,2023-11-01,20090.62,47,16.334,19.523,4397.32,15693.3
1041,2023-01-01,10994.04,36,26.098,35.315,,
1041,2023-03-01,4535.08,44,3.039,3.134,10994.04,-6458.96
1041,2023-08-01,4706.42,31,8.644,9.462,4535.08,171.34
1041,2023-11-01,18626.8,40,43.621,77.372,4706.42,13920.38
1042,2023-01-01,22101.42,82,15.296,13.234,,
1042,2023-05-01,6964.71,38,17.645,34.803,22101.42,-15136.71
1042,2023-06-01,9010.4,20,12.635,14.463,6964.71,2045.69
1042,2023-07-01,6317.16,49,8.312,4.524,9010.4,-2693.24
1042,2023-08-01,8503.92,27,21.656,27.641,6317.16,2186.76
1043,2023-08-01,8724.76,22,8.517,9.309,,
1043,2023-10-01,5044.16,22,30.195,43.257,8724.76,-3680.6
1043,2023-11-01,531.96,3,8.11,8.826,5044.16,-4512.2
1043,2023-12-01,3562.92,18,17.979,5.707,531.96,3030.96
1044,2023-01-01,1437.95,5,5.694,6.038,,
1044,2023-02-01,5066.64,34,6.652,5.023,1437.95,3628.69
1044,2023-04-01,5672.22,34,4.461,4.669,5066.64,605.58
1044,2023-05-01,6104.32,19,12.831,14.719,5672.22,432.1
1044,2023-06-01,2124.12,6,12.906,14.819,6104.32,-3980.2
1044,2023-07-01,14965.74,47,17.393,21.055,2124.12,12841.62
1044,2023-08-01,3798.72,18,32.914,49.063,14965.74,-11167.02
1044,2023-10-01,4220.04,11,17.468,21.164,3798.72,421.32
1044,2023-11-01,817.86,6,3.55,3.68,4220.04,-3402.18
1045,2023-01-01,32061.28,81,11.394,12.785,,
1045,2023-03-01,2741.9,14,23.564,30.829,32061.28,-29319.38
1045,2023-06-01,17802.63,60,23.471,9.515,2741.9,15060.73
1045,2023-11-01,162.32,2,8.171,8.898,17802.63,-17640.31
1045,2023-12-01,14810.42,64,32.387,9.494,162.32,14648.1
1046,2023-01-01,6315.84,43,3.498,3.625,,
1046,2023-02-01,13583.15,49,8.162,11.224,6315.84,7267.31
1046,2023-07-01,3303.95,17,4.804,5.047,13583.15,-10279.2
1046,2023-08-01,157.8,4,0.954,0.963,3303.95,-3146.15
1046,2023-09-01,20908.21,71,32.34,24.755,157.8,20750.41
1047,2023-03-01,5250.3,37,4.357,4.556,,
1047,2023-04-01,13359.04,33,15.168,14.758,5250.3,8108.74
1047,2023-06-01,8341.02,18,45.239,82.612,13359.04,-5018.02
1047,2023-07-01,23498.84,70,14.523,10.391,8341.02,15157.82
1047,2023-08-01,16119.37,121,4.122,4.187,23498.84,-7379.47
1047,2023-09-01,14021.12,32,54.353,119.072,16119.37,-2098.25
1047,2023-12-01,20553.14,43,27.674,38.264,14021.12,6532.02
1048,2023-01-01,22470.64,61,20.07,30.049,,
1048,2023-02-01,34500.92,116,7.227,6.929,22470.64,12030.28
1048,2023-04-01,12199.5,45,5.98,6.361,34500.92,-22301.42
1048,2023-07-01,2184.96,6,15.768,18.72,12199.5,-10014.54
1048,2023-09-01,41.48,4,0.356,0.358,2184.96,-2143.48
1048,2023-10-01,10858.38,48,7.361,7.043,41.48,10816.9
1049,2023-02-01,4402.31,31,3.825,3.978,,
1049,2023-03-01,7571.46,17,44.357,79.717,4402.31,3169.15
1049,2023-05-01,9766.23,42,4.111,5.85,7571.46,2194.77
1049,2023-09-01,5016.88,44,3.29,3.402,9766.23,-4749.35
1049,2023-10-01,10404.14,68,3.152,3.443,5016.88,5387.26
1049,2023-12-01,16541.4,38,12.874,14.776,10404.14,6137.26
1050,2023-02-01,6781.92,48,16.596,19.898,,
1050,2023-03-01,9339.8,20,12.335,14.071,6781.92,2557.88
1050,2023-05-01,31258.26,86,32.858,30.292,9339.8,21918.46
1050,2023-06-01,11492.41,23,11.741,13.303,31258.26,-19765.85
1050,2023-07-01,5973.13,43,2.793,2.873,11492.41,-5519.28
1050,2023-08-01,5233.45,17,11.597,13.118,5973.13,-739.68
1050,2023-11-01,6709.08,28,12.28,13.999,5233.45,1475.63
1051,2023-01-01,10562.19,37,7.63,9.484,,
1051,2023-04-01,3960.95,38,3.11,3.246,10562.19,-6601.24
1051,2023-05-01,19673.96,70,6.563,6.854,3960.95,15713.01
1051,2023-10-01,16955.96,46,31.47,74.736,19673.96,-2718.0
1051,2023-11-01,12580.21,62,14.531,16.816,16955.96,-4375.75
1051,2023-12-01,2600.8,8,41.037,69.598,12580.21,-9979.41
1052,2023-01-01,5254.37,11,12.157,13.839,,
1052,2023-02-01,2060.46,18,42.837,74.939,5254.37,-3193.91
1052,2023-04-01,9295.22,33,11.695,7.059,2060.46,7234.76
1052,2023-07-01,24322.62,90,28.245,15.045,9295.22,15027.4
1052,2023-10-01,14452.07,87,8.859,7.009,24322.62,-9870.55
1052,2023-11-01,8113.68,18,12.109,13.778,14452.07,-6338.39
1052,2023-12-01,8782.2,20,17.75,31.583,8113.68,668.52
1053,2023-01-01,20989.08,42,16.979,20.451,,
1053,2023-02-01,3956.59,11,18.516,22.724,20989.08,-17032.49
1053,2023-03-01,159.79,1,8.579,9.384,3956.59,-3796.8
1053,2023-05-01,16851.6,36,9.917,11.008,159.79,16691.81
1053,2023-06-01,7248.15,39,3.848,4.002,16851.6,-9603.45
1053,2023-07-01,3738.02,11,62.885,169.436,7248.15,-3510.13
1053,2023-10-01,27079.66,78,30.597,23.23,3738.02,23341.64
1053,2023-12-01,14374.42,91,5.842,5.595,27079.66,-12705.24
1054,2023-01-01,20846.8,62,9.509,10.499,,
1054,2023-02-01,2749.42,43,2.921,3.009,20846.8,-18097.38
1054,2023-04-01,6994.08,48,5.917,6.289,2749.42,4244.66
1054,2023-06-01,9280.86,48,5.49,6.757,6994.08,2286.78
1054,2023-07-01,22425.87,67,7.697,7.459,9280.86,13145.01
1054,2023-09-01,7769.12,16,9.628,10.654,22425.87,-14656.75
1054,2023-10-01,5340.88,64,2.798,1.982,7769.12,-2428.24
1055,2023-03-01,1163.03,11,4.065,4.237,,
1055,2023-05-01,6067.2,40,13.648,15.804,1163.03,4904.17
1055,2023-07-01,22586.4,59,7.679,9.259,6067.2,16519.2
1055,2023-09-01,5197.68,12,14.575,17.062,22586.4,-17388.72
1055,2023-10-01,5581.18,46,2.825,2.907,5197.68,383.5
1055,2023-12-01,2603.36,8,8.478,9.263,5581.18,-2977.82
1056,2023-01-01,5565.25,25,8.614,9.426,,
1056,2023-02-01,16467.71,79,13.773,16.001,5565.25,10902.46
1056,2023-04-01,3031.1,10,36.088,56.465,16467.71,-13436.61
1056,2023-05-01,3452.72,75,1.658,2.164,3031.1,421.62
1056,2023-07-01,12681.2,35,13.383,15.451,3452.72,9228.48
1056,2023-12-01,6490.72,29,10.066,18.383,12681.2,-6190.48
1057,2023-01-01,7397.88,48,8.82,3.946,,
1057,2023-06-01,23965.73,77,7.879,8.121,7397.88,16567.85
1057,2023-09-01,5145.75,25,10.151,11.297,23965.73,-18819.98
1057,2023-10-01,19593.6,40,13.156,15.15,5145.75,14447.85
1057,2023-11-01,432.12,26,1.27,1.287,19593.6,-19161.48
1057,2023-12-01,1555.89,31,2.046,2.089,432.12,1123.77
1058,2023-01-01,66.42,6,0.221,0.222,,
1058,2023-03-01,32811.84,176,8.479,7.871,66.42,32745.42
1058,2023-04-01,2396.79,33,6.698,7.179,32811.84,-30415.05
1058,2023-06-01,20858.88,48,14.252,16.621,2396.79,18462.09
1058,2023-07-01,1300.74,14,3.322,3.436,20858.88,-19558.14
1058,2023-09-01,4568.31,38,15.786,4.129,1300.74,3267.57
1058,2023-11-01,10907.73,57,17.909,6.625,4568.31,6339.42
1058,2023-12-01,17966.8,80,9.775,9.166,10907.73,7059.07
1059,2023-04-01,5795.04,13,28.655,13.704,,
1059,2023-05-01,938.32,37,0.608,0.612,5795.04,-4856.72
1059,2023-06-01,23485.65,60,37.758,60.059,938.32,22547.33
1059,2023-07-01,2833.12,16,3.966,4.13,23485.65,-20652.53
1059,2023-08-01,16812.25,56,7.014,9.238,2833.12,13979.13
1059,2023-10-01,13740.72,28,68.629,218.768,16812.25,-3071.53
1059,2023-11-01,6889.76,17,18.545,22.767,13740.72,-6850.96
1060,2023-01-01,7992.06,37,14.331,4.619,,
1060,2023-03-01,13239.16,44,11.974,13.603,7992.06,5247.1
1060,2023-04-01,8688.71,23,8.417,9.19,13239.16,-4550.45
1060,2023-05-01,5526.06,31,5.338,5.639,8688.71,-3162.65
1060,2023-08-01,7777.6,21,6.592,9.318,5526.06,2251.54
1060,2023-10-01,15133.17,80,14.906,11.177,7777.6,7355.57
1060,2023-12-01,21649.32,44,11.504,13.0,15133.17,6516.15
1061,2023-01-01,2506.1,38,1.463,1.485,,
1061,2023-03-01,5709.13,58,5.852,4.461,2506.1,3203.03
1061,2023-04-01,37688.74,115,33.861,21.105,5709.13,31979.61
1061,2023-05-01,12289.34,41,9.385,10.357,37688.74,-25399.4
